"state_name","county_name","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"12","12001","91248","25175","32601","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",18559,1 
"12","12001","91248","25175","32603","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",6741,1 
"12","12001","91248","25175","32605","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",21753,1 
"12","12001","91248","25175","32606","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",2426,1 
"12","12001","91248","25175","32607","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",15645,1 
"12","12001","91248","25175","32608","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",22173,1 
"12","12001","91248","25175","32609","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",14264,1 
"12","12001","91248","25175","32612","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",5458,1 
"12","12001","91248","25175","32641","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",6884,1 
"12","12001","91248","25175","32653","99999","00030","100,000-249,999","100,000-249,999","FL","Alachua FL","Gainesville CCD","Gainesville city, FL","99999","Gainesville, FL","Alachua County School District",696,1 
"12","12001","91248","99999","32601","99999","00030","100,000-249,999","Not in a place","FL","Alachua FL","Gainesville CCD"," ","99999","Gainesville, FL","Alachua County School District",26,1 
"12","12001","91248","99999","32605","99999","00030","100,000-249,999","Not in a place","FL","Alachua FL","Gainesville CCD"," ","99999","Gainesville, FL","Alachua County School District",1172,1 
"12","12001","91248","99999","32606","99999","00030","100,000-249,999","Not in a place","FL","Alachua FL","Gainesville CCD"," ","99999","Gainesville, FL","Alachua County School District",14479,1 
"12","12001","91248","99999","32607","99999","00030","100,000-249,999","Not in a place","FL","Alachua FL","Gainesville CCD"," ","99999","Gainesville, FL","Alachua County School District",14067,1 
"12","12001","91248","99999","32608","99999","00030","100,000-249,999","Not in a place","FL","Alachua FL","Gainesville CCD"," ","99999","Gainesville, FL","Alachua County School District",18623,1 
