"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"31","31001","02900","02865","68925","99999","02770","25,000-99,999","Less than 200","NE","Adams NE","Ayr township","Ayr village, NE","99999","Ayr, NE","Adams Central Public Schools",49,1 
"31","31001","02900","99999","68901","99999","02770","25,000-99,999","Not in a place","NE","Adams NE","Ayr township"," ","99999","Hastings, NE","Adams Central Public Schools",176,1 
"31","31001","02900","99999","68925","99999","00066","25,000-99,999","Not in a place","NE","Adams NE","Ayr township"," ","99999","Ayr, NE","Silver Lake Public Schools",21,1 
"31","31001","02900","99999","68925","99999","02770","25,000-99,999","Not in a place","NE","Adams NE","Ayr township"," ","99999","Ayr, NE","Adams Central Public Schools",152,1 
"31","31001","02900","99999","68955","99999","02770","25,000-99,999","Not in a place","NE","Adams NE","Ayr township"," ","99999","Juniata, NE","Adams Central Public Schools",7,1 
"31","31001","02900","99999","68973","99999","00066","25,000-99,999","Not in a place","NE","Adams NE","Ayr township"," ","99999","Roseland, NE","Silver Lake Public Schools",8,1 
"31","31001","05210","99999","68901","99999","02770","25,000-99,999","Not in a place","NE","Adams NE","Blaine township"," ","99999","Hastings, NE","Adams Central Public Schools",152,1 
"31","31001","05210","99999","68901","99999","71580","25,000-99,999","Not in a place","NE","Adams NE","Blaine township"," ","99999","Hastings, NE","Hastings Public Schools",315,1 
"31","31001","05210","99999","68941","99999","02770","25,000-99,999","Not in a place","NE","Adams NE","Blaine township"," ","99999","Glenvil, NE","Adams Central Public Schools",30,1 
"31","31001","10810","22815","68950","99999","02770","25,000-99,999","200-999","NE","Adams NE","Cottonwood township","Holstein village, NE","99999","Holstein, NE","Adams Central Public Schools",214,1 
"31","31001","10810","99999","68950","99999","00066","25,000-99,999","Not in a place","NE","Adams NE","Cottonwood township"," ","99999","Holstein, NE","Silver Lake Public Schools",7,1 
"31","31001","10810","99999","68950","99999","02770","25,000-99,999","Not in a place","NE","Adams NE","Cottonwood township"," ","99999","Holstein, NE","Adams Central Public Schools",80,1 
"31","31001","10810","99999","68950","99999","72420","25,000-99,999","Not in a place","NE","Adams NE","Cottonwood township"," ","99999","Holstein, NE","Kenesaw Public Schools",8,1 
"31","31001","10810","99999","68973","99999","02770","25,000-99,999","Not in a place","NE","Adams NE","Cottonwood township"," ","99999","Roseland, NE","Adams Central Public Schools",8,1 
