"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"46","46003","02740","99999","57375","99999","16230","2500-9999","Not in a place","SD","Aurora SD","Aurora township"," ","99999","Stickney, SD","Corsica School District 21-2",1,1 
"46","46003","02740","99999","57375","99999","69540","2500-9999","Not in a place","SD","Aurora SD","Aurora township"," ","99999","Stickney, SD","Stickney School District 01-2",99,1 
"46","46003","04300","61940","57359","99999","55710","2500-9999","Less than 200","SD","Aurora SD","Belford township","Storla CDP, SD","99999","Letcher, SD","Plankinton School District 01-1",6,1 
"46","46003","04300","99999","57359","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Belford township"," ","99999","Letcher, SD","Plankinton School District 01-1",44,1 
"46","46003","04300","99999","57368","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Belford township"," ","99999","Plankinton, SD","Plankinton School District 01-1",16,1 
"46","46003","04300","99999","57385","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Belford township"," ","99999","Woonsocket, SD","Plankinton School District 01-1",24,1 
"46","46003","07260","99999","57368","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Bristol township"," ","99999","Plankinton, SD","Plankinton School District 01-1",28,1 
"46","46003","07260","99999","57382","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Bristol township"," ","99999","Wessington Springs, SD","Plankinton School District 01-1",7,1 
"46","46003","07260","99999","57382","99999","77460","2500-9999","Not in a place","SD","Aurora SD","Bristol township"," ","99999","Wessington Springs, SD","Wessington Springs School District 36-2",1,1 
"46","46003","10900","02860","57375","99999","69540","2500-9999","Less than 200","SD","Aurora SD","Center township","Aurora Center CDP, SD","99999","Stickney, SD","Stickney School District 01-2",12,1 
"46","46003","10900","99999","57375","99999","69540","2500-9999","Not in a place","SD","Aurora SD","Center township"," ","99999","Stickney, SD","Stickney School District 01-2",73,1 
"46","46003","13820","99999","57368","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Cooper township"," ","99999","Plankinton, SD","Plankinton School District 01-1",2,1 
"46","46003","13820","99999","57383","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Cooper township"," ","99999","White Lake, SD","Plankinton School District 01-1",3,1 
"46","46003","13820","99999","57383","99999","78510","2500-9999","Not in a place","SD","Aurora SD","Cooper township"," ","99999","White Lake, SD","White Lake School District 01-3",15,1 
"46","46003","14960","99999","57368","99999","78510","2500-9999","Not in a place","SD","Aurora SD","Crystal Lake township"," ","99999","Plankinton, SD","White Lake School District 01-3",2,1 
"46","46003","14960","99999","57375","99999","69540","2500-9999","Not in a place","SD","Aurora SD","Crystal Lake township"," ","99999","Stickney, SD","Stickney School District 01-2",16,1 
"46","46003","14960","99999","57383","99999","69540","2500-9999","Not in a place","SD","Aurora SD","Crystal Lake township"," ","99999","White Lake, SD","Stickney School District 01-2",3,1 
"46","46003","14960","99999","57383","99999","78510","2500-9999","Not in a place","SD","Aurora SD","Crystal Lake township"," ","99999","White Lake, SD","White Lake School District 01-3",30,1 
"46","46003","17180","99999","57368","99999","49650","2500-9999","Not in a place","SD","Aurora SD","Dudley township"," ","99999","Plankinton, SD","Mount Vernon School District 17-3",3,1 
"46","46003","17180","99999","57368","99999","69540","2500-9999","Not in a place","SD","Aurora SD","Dudley township"," ","99999","Plankinton, SD","Stickney School District 01-2",13,1 
"46","46003","17180","99999","57375","99999","69540","2500-9999","Not in a place","SD","Aurora SD","Dudley township"," ","99999","Stickney, SD","Stickney School District 01-2",68,1 
"46","46003","20100","99999","57368","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Eureka township"," ","99999","Plankinton, SD","Plankinton School District 01-1",19,1 
"46","46003","20100","99999","57383","99999","78510","2500-9999","Not in a place","SD","Aurora SD","Eureka township"," ","99999","White Lake, SD","White Lake School District 01-3",19,1 
"46","46003","21420","99999","57368","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Firesteel township"," ","99999","Plankinton, SD","Plankinton School District 01-1",35,1 
"46","46003","23300","99999","57383","99999","78510","2500-9999","Not in a place","SD","Aurora SD","Gales township"," ","99999","White Lake, SD","White Lake School District 01-3",54,1 
"46","46003","30020","99999","57368","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Hopper township"," ","99999","Plankinton, SD","Plankinton School District 01-1",82,1 
"46","46003","34780","99999","57383","99999","78510","2500-9999","Not in a place","SD","Aurora SD","Lake township"," ","99999","White Lake, SD","White Lake School District 01-3",49,1 
"46","46003","48180","99999","57359","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Palatine township"," ","99999","Letcher, SD","Plankinton School District 01-1",14,1 
"46","46003","48180","99999","57368","99999","49650","2500-9999","Not in a place","SD","Aurora SD","Palatine township"," ","99999","Plankinton, SD","Mount Vernon School District 17-3",3,1 
"46","46003","48180","99999","57368","99999","55710","2500-9999","Not in a place","SD","Aurora SD","Palatine township"," ","99999","Plankinton, SD","Plankinton School District 01-1",46,1 
"46","46003","48660","99999","57383","99999","38220","2500-9999","Not in a place","SD","Aurora SD","Patten township"," ","99999","White Lake, SD","Kimball School District 07-2",7,1 
"46","46003","48660","99999","57383","99999","78510","2500-9999","Not in a place","SD","Aurora SD","Patten township"," ","99999","White Lake, SD","White Lake School District 01-3",30,1 
