"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"54","54001","92328","63292","26416","99999","00030","10,000-24,999","2500-9999","WV","Barbour WV","North district","Philippi city, WV","99999","Philippi, WV","Barbour County School District",2177,1 
"54","54001","92328","99999","26250","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","North district"," ","99999","Belington, WV","Barbour County School District",139,1 
"54","54001","92328","99999","26405","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","North district"," ","99999","Moatsville, WV","Barbour County School District",1101,1 
"54","54001","92328","99999","26416","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","North district"," ","99999","Philippi, WV","Barbour County School District",3104,1 
"54","54001","92328","99999","26440","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","North district"," ","99999","Thornton, WV","Barbour County School District",105,1 
"54","54001","92892","05788","26250","99999","00030","10,000-24,999","1000-2499","WV","Barbour WV","South district","Belington town, WV","99999","Belington, WV","Barbour County School District",1921,1 
"54","54001","92892","42244","26250","99999","00030","10,000-24,999","200-999","WV","Barbour WV","South district","Junior town, WV","99999","Belington, WV","Barbour County School District",21,1 
"54","54001","92892","42244","26275","99999","00030","10,000-24,999","200-999","WV","Barbour WV","South district","Junior town, WV","99999","Junior, WV","Barbour County School District",499,1 
"54","54001","92892","99999","26250","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","South district"," ","99999","Belington, WV","Barbour County School District",2947,1 
"54","54001","92892","99999","26267","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","South district"," ","99999","Ellamore, WV","Barbour County School District",30,1 
"54","54001","92892","99999","26275","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","South district"," ","99999","Junior, WV","Barbour County School District",245,1 
"54","54001","92892","99999","26283","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","South district"," ","99999","Montrose, WV","Barbour County School District",221,1 
"54","54001","92892","99999","26416","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","South district"," ","99999","Philippi, WV","Barbour County School District",226,1 
"54","54001","93588","14212","26201","99999","00030","10,000-24,999","Less than 200","WV","Barbour WV","West district","Century CDP, WV","99999","Buckhannon, WV","Barbour County School District",115,1 
"54","54001","93588","29740","26347","99999","00030","10,000-24,999","Less than 200","WV","Barbour WV","West district","Galloway CDP, WV","99999","Flemington, WV","Barbour County School District",22,1 
"54","54001","93588","29740","26349","99999","00030","10,000-24,999","Less than 200","WV","Barbour WV","West district","Galloway CDP, WV","99999","Galloway, WV","Barbour County School District",121,1 
"54","54001","93588","63292","26416","99999","00030","10,000-24,999","2500-9999","WV","Barbour WV","West district","Philippi city, WV","99999","Philippi, WV","Barbour County School District",789,1 
"54","54001","93588","99999","26201","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","West district"," ","99999","Buckhannon, WV","Barbour County School District",346,1 
"54","54001","93588","99999","26238","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","West district"," ","99999","Volga, WV","Barbour County School District",609,1 
"54","54001","93588","99999","26330","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","West district"," ","99999","Bridgeport, WV","Barbour County School District",143,1 
"54","54001","93588","99999","26347","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","West district"," ","99999","Flemington, WV","Barbour County School District",464,1 
"54","54001","93588","99999","26349","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","West district"," ","99999","Galloway, WV","Barbour County School District",11,1 
"54","54001","93588","99999","26416","99999","00030","10,000-24,999","Not in a place","WV","Barbour WV","West district"," ","99999","Philippi, WV","Barbour County School District",1233,1 
"54","54003","90006","52060","25401","99999","00060","100,000-249,999","10,000-24,999","WV","Berkeley WV","Adam Stephens district","Martinsburg city, WV","99999","Martinsburg, WV","Berkeley County School District",10391,1 
"54","54003","90006","52060","25404","99999","00060","100,000-249,999","10,000-24,999","WV","Berkeley WV","Adam Stephens district","Martinsburg city, WV","99999","Martinsburg, WV","Berkeley County School District",2930,1 
"54","54003","90006","99999","25401","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Adam Stephens district"," ","99999","Martinsburg, WV","Berkeley County School District",234,1 
"54","54003","90006","99999","25404","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Adam Stephens district"," ","99999","Martinsburg, WV","Berkeley County School District",146,1 
"54","54003","90006","99999","25405","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Adam Stephens district"," ","99999","Martinsburg, WV","Berkeley County School District",523,1 
"54","54003","92322","36220","25427","99999","00060","100,000-249,999","200-999","WV","Berkeley WV","Norborne district","Hedgesville town, WV","99999","Hedgesville, WV","Berkeley County School District",316,1 
"54","54003","92322","52060","25401","99999","00060","100,000-249,999","10,000-24,999","WV","Berkeley WV","Norborne district","Martinsburg city, WV","99999","Martinsburg, WV","Berkeley County School District",1081,1 
"54","54003","92322","52060","25403","99999","00060","100,000-249,999","10,000-24,999","WV","Berkeley WV","Norborne district","Martinsburg city, WV","99999","Martinsburg, WV","Berkeley County School District",1634,1 
"54","54003","92322","99999","25401","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Norborne district"," ","99999","Martinsburg, WV","Berkeley County School District",839,1 
"54","54003","92322","99999","25403","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Norborne district"," ","99999","Martinsburg, WV","Berkeley County School District",6391,1 
"54","54003","92322","99999","25427","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Norborne district"," ","99999","Hedgesville, WV","Berkeley County School District",704,1 
"54","54003","92526","26716","25419","99999","00060","100,000-249,999","200-999","WV","Berkeley WV","Potomac district","Falling Waters CDP, WV","99999","Falling Waters, WV","Berkeley County School District",876,1 
"54","54003","92526","99999","25403","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Potomac district"," ","99999","Martinsburg, WV","Berkeley County School District",2118,1 
"54","54003","92526","99999","25404","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Potomac district"," ","99999","Martinsburg, WV","Berkeley County School District",4141,1 
"54","54003","92526","99999","25419","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Potomac district"," ","99999","Falling Waters, WV","Berkeley County School District",8245,1 
"54","54003","92526","99999","25427","99999","00060","100,000-249,999","Not in a place","WV","Berkeley WV","Potomac district"," ","99999","Hedgesville, WV","Berkeley County School District",426,1 
"54","54003","92754","40204","25413","99999","00060","100,000-249,999","2500-9999","WV","Berkeley WV","Shenandoah district","Inwood CDP, WV","99999","Bunker Hill, WV","Berkeley County School District",112,1 
"54","54003","92754","40204","25420","99999","00060","100,000-249,999","2500-9999","WV","Berkeley WV","Shenandoah district","Inwood CDP, WV","99999","Gerrardstown, WV","Berkeley County School District",50,1 
