"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"08","08001","90399","08675","80601","99999","02580","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Brighton city, CO","99999","Brighton, CO","Brighton School District 27J",32687,1 
"08","08001","90399","08675","80603","99999","02580","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Brighton city, CO","99999","Brighton, CO","Brighton School District 27J",3,1 
"08","08001","90399","08675","80640","99999","02580","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Brighton city, CO","99999","Commerce City, CO","Brighton School District 27J",319,1 
"08","08001","90399","16495","80022","99999","01950","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Commerce City city, CO","99999","Commerce City, CO","Adams County School District 14",1082,1 
"08","08001","90399","16495","80022","99999","02580","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Commerce City city, CO","99999","Commerce City, CO","Brighton School District 27J",13730,1 
"08","08001","90399","16495","80601","99999","02580","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Commerce City city, CO","99999","Brighton, CO","Brighton School District 27J",3,1 
"08","08001","90399","16495","80603","99999","01950","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Commerce City city, CO","99999","Brighton, CO","Adams County School District 14",3,1 
"08","08001","90399","16495","80603","99999","02580","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Commerce City city, CO","99999","Brighton, CO","Brighton School District 27J",1965,1 
"08","08001","90399","16495","80640","99999","01950","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Commerce City city, CO","99999","Commerce City, CO","Adams County School District 14",3,1 
"08","08001","90399","16495","80640","99999","02580","250,000-999,999","25,000-99,999","CO","Adams CO","Brighton CCD","Commerce City city, CO","99999","Commerce City, CO","Brighton School District 27J",7960,1 
"08","08001","90399","45530","80601","99999","02580","250,000-999,999","2500-9999","CO","Adams CO","Brighton CCD","Lochbuie town, CO","99999","Brighton, CO","Brighton School District 27J",2,1 
"08","08001","90399","77290","80023","99999","06900","250,000-999,999","100,000-249,999","CO","Adams CO","Brighton CCD","Thornton city, CO","99999","Broomfield, CO","Northglenn-Thornton School District 12",23,1 
"08","08001","90399","77290","80602","99999","02580","250,000-999,999","100,000-249,999","CO","Adams CO","Brighton CCD","Thornton city, CO","99999","Thornton, CO","Brighton School District 27J",6777,1 
"08","08001","90399","77290","80602","99999","06900","250,000-999,999","100,000-249,999","CO","Adams CO","Brighton CCD","Thornton city, CO","99999","Thornton, CO","Northglenn-Thornton School District 12",4038,1 
"08","08001","90399","77290","80640","99999","01950","250,000-999,999","100,000-249,999","CO","Adams CO","Brighton CCD","Thornton city, CO","99999","Commerce City, CO","Adams County School District 14",8,1 
"08","08001","90399","77757","80601","99999","02580","250,000-999,999","2500-9999","CO","Adams CO","Brighton CCD","Todd Creek CDP, CO","99999","Brighton, CO","Brighton School District 27J",9,1 
