"state","county","cousubfp","placefp","zcta5","metdiv10","sduni","cntysc","placesc","stab","cntyname","cousubnm","placenm","mdivname10","zipname","uschlnm10","pop10","afact"
"State code","County code","County subdivision code","Place code","ZIP census tabulation area","metdiv10","Unified school district (2010)","cntysc","placesc","State abbreviation","County name","County subdivision name","Place name","2010 Metro div name","ZCTA name","Unified school district name 2010","Total population (2010)","placesc to state allocation factor"
"15","15001","90630","14650","96720","99999","00030","100,000-249,999","25,000-99,999","HI","Hawaii HI","Hilo CCD","Hilo CDP, HI","99999","Hilo, HI","Hawaii Department of Education",43263,1 
"15","15001","90630","78950","96720","99999","00030","100,000-249,999","1000-2499","HI","Hawaii HI","Hilo CCD","Wainaku CDP, HI","99999","Hilo, HI","Hawaii Department of Education",1224,1 
"15","15001","90630","99999","96720","99999","00030","100,000-249,999","Not in a place","HI","Hawaii HI","Hilo CCD"," ","99999","Hilo, HI","Hawaii Department of Education",1227,1 
"15","15001","90720","16450","96727","99999","00030","100,000-249,999","1000-2499","HI","Hawaii HI","Honokaa-Kukuihaele CCD","Honokaa CDP, HI","99999","Honokaa, HI","Hawaii Department of Education",2221,1 
"15","15001","90720","41000","96727","99999","00030","100,000-249,999","200-999","HI","Hawaii HI","Honokaa-Kukuihaele CCD","Kukuihaele CDP, HI","99999","Honokaa, HI","Hawaii Department of Education",336,1 
"15","15001","90720","99999","96727","99999","00030","100,000-249,999","Not in a place","HI","Hawaii HI","Honokaa-Kukuihaele CCD"," ","99999","Honokaa, HI","Hawaii Department of Education",1287,1 
"15","15001","90720","99999","96743","99999","00030","100,000-249,999","Not in a place","HI","Hawaii HI","Honokaa-Kukuihaele CCD"," ","99999","Waimea, HI","Hawaii Department of Education",81,1 
"15","15001","91170","05900","96772","99999","00030","100,000-249,999","200-999","HI","Hawaii HI","Kau CCD","Discovery Harbour CDP, HI","99999","Discovery Harbour, HI","Hawaii Department of Education",949,1 
"15","15001","91170","12530","96737","99999","00030","100,000-249,999","2500-9999","HI","Hawaii HI","Kau CCD","Hawaiian Ocean View CDP, HI","99999","Hawaiian Ocean View, HI","Hawaii Department of Education",4437,1 
"15","15001","91170","53600","96772","99999","00030","100,000-249,999","200-999","HI","Hawaii HI","Kau CCD","Naalehu CDP, HI","99999","Discovery Harbour, HI","Hawaii Department of Education",866,1 
"15","15001","91170","59750","96777","99999","00030","100,000-249,999","1000-2499","HI","Hawaii HI","Kau CCD","Pahala CDP, HI","99999","Pahala, HI","Hawaii Department of Education",1356,1 
